filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.038,2.242,5.967,1.869,28.358,0.713,1.743,0.739,0.008,69.296,0.435,0.02,0.916,1.012
00008N.png,6.363,2.407,7.238,2.252,42.226,0.736,1.557,0.773,0.017,65.877,0.475,0.022,0.872,1.076
00012N.png,6.133,2.254,5.731,1.997,34.182,0.629,1.645,0.838,0.012,67.416,0.479,0.012,0.916,1.007
00016N.png,6.22,2.089,7.344,2.693,34.623,0.629,1.711,0.781,0.012,67.459,0.484,0.02,0.931,1.02
00020N.png,5.038,1.488,5.585,1.561,20.288,0.766,1.738,0.887,0.003,73.384,0.42,0.023,0.915,1.116
00024N.png,5.695,1.782,6.144,1.99,26.734,0.714,1.859,0.887,0.006,70.272,0.464,0.023,0.938,1.097
00028N.png,5.729,2.147,6.025,1.725,25.217,0.689,1.766,0.865,0.006,70.099,0.445,0.021,0.85,1.051
00032N.png,5.674,1.893,7.183,2.212,35.655,0.689,1.863,0.931,0.01,67.969,0.506,0.017,0.892,1.043
00036N.png,5.14,1.618,6.768,1.958,28.914,0.736,1.884,0.869,0.006,70.004,0.487,0.021,0.87,1.036
00040N.png,5.207,1.679,5.178,1.53,22.044,0.718,1.92,0.885,0.004,72.056,0.441,0.021,0.892,1.065
00047N.png,6.075,1.997,7.452,2.317,36.134,0.641,1.888,0.848,0.012,67.233,0.511,0.015,0.909,1.035
00051N.png,6.137,1.92,8.687,2.852,40.604,0.674,1.826,0.826,0.013,66.862,0.493,0.022,0.888,1.057
00055D.png,7.223,3.031,17.867,6.262,64.514,0.639,1.621,0.586,0.052,60.946,0.573,0.021,0.804,0.988
00081D.png,7.4,2.761,13.246,4.704,58.739,0.597,1.64,0.674,0.063,60.15,0.561,0.017,0.754,0.957
00085D.png,7.243,2.613,11.387,4.556,45.574,0.721,1.749,0.746,0.044,61.715,0.542,0.025,0.814,1.097
00091D.png,7.19,2.917,10.358,3.602,48.763,0.528,1.721,0.648,0.055,60.729,0.494,0.025,0.745,0.946
00095D.png,7.56,2.527,15.498,6.206,59.448,0.525,1.764,0.64,0.077,59.294,0.563,0.024,0.788,1.019
00099D.png,7.673,2.206,21.816,9.51,57.407,0.676,1.678,0.533,0.052,60.98,0.516,0.027,0.908,1.178
00103D.png,7.533,2.59,15.422,6.279,52.551,0.629,1.708,0.536,0.043,61.752,0.461,0.027,0.886,1.148
00107D.png,7.083,2.164,13.052,4.814,45.533,0.656,1.769,0.583,0.024,64.347,0.467,0.028,0.955,1.162
00111D.png,7.326,2.968,14.494,5.051,76.673,0.83,1.602,0.548,0.032,63.12,0.449,0.024,0.895,1.208
00115D.png,7.169,2.67,12.168,4.331,52.019,0.628,1.753,0.587,0.034,62.868,0.455,0.022,0.909,1.128
00119D.png,6.864,2.524,10.607,3.605,44.319,0.628,1.787,0.666,0.023,64.582,0.49,0.02,0.961,1.176
00123D.png,7.409,2.684,14.048,5.694,55.684,0.665,1.69,0.69,0.048,61.351,0.495,0.024,0.867,1.072
00127D.png,6.584,2.42,11.19,3.58,31.327,0.449,1.763,0.638,0.022,64.711,0.513,0.02,0.842,0.984
00131D.png,6.8,2.21,12.791,4.276,39.344,0.614,1.864,0.635,0.025,64.202,0.509,0.023,0.837,1.016
00135D.png,6.738,2.285,9.573,3.395,38.081,0.431,1.641,0.637,0.036,62.607,0.45,0.025,0.828,1.038
00139D.png,7.259,2.263,12.651,4.778,44.376,0.537,1.631,0.607,0.046,61.518,0.527,0.02,0.78,0.927
00143D.png,7.024,1.857,13.058,4.893,37.056,0.468,1.895,0.597,0.046,61.515,0.529,0.02,0.777,0.915
00147D.png,6.756,2.257,11.318,4.07,35.667,0.484,1.784,0.619,0.023,64.448,0.508,0.026,0.866,0.939
00151D.png,7.047,2.387,11.147,4.345,38.732,0.443,1.648,0.652,0.037,62.47,0.513,0.027,0.827,0.9
00158D.png,7.087,2.369,8.421,3.232,40.169,0.489,1.691,0.663,0.039,62.217,0.467,0.024,0.804,0.892
00162D.png,7.592,3.219,12.655,5.154,53.091,0.72,1.154,0.814,0.066,59.936,0.649,0.016,0.806,1.019
00169D.png,7.096,2.53,9.58,3.553,49.52,0.772,1.543,0.695,0.024,64.364,0.505,0.027,0.89,1.096
00174D.png,7.094,2.243,10.151,3.641,45.22,0.718,1.661,0.702,0.027,63.837,0.547,0.021,0.862,1.056
00178D.png,7.118,2.473,11.607,3.87,49.085,0.758,1.581,0.672,0.025,64.107,0.551,0.024,0.896,1.069
00182D.png,7.341,2.696,12.529,4.131,51.954,0.744,1.538,0.689,0.035,62.685,0.578,0.02,0.841,1.048
00186D.png,7.484,2.477,12.903,4.752,50.232,0.636,1.773,0.661,0.045,61.568,0.575,0.021,0.804,0.977
00191D.png,7.412,2.457,12.773,4.815,55.184,0.714,1.784,0.635,0.036,62.618,0.543,0.023,0.885,1.104
00196D.png,7.147,1.801,11.894,4.704,38.758,0.604,1.87,0.52,0.019,65.336,0.436,0.032,0.951,1.066
00200D.png,5.964,1.887,7.472,2.39,36.125,0.688,1.485,0.76,0.011,67.661,0.458,0.02,0.948,1.119
00204D.png,6.455,2.187,9.244,2.98,35.213,0.643,1.661,0.688,0.014,66.648,0.483,0.024,0.955,1.091
00209D.png,6.695,2.177,10.084,3.374,39.268,0.672,1.796,0.689,0.017,65.862,0.501,0.024,0.931,1.067
00213D.png,6.391,2.03,8.742,2.928,28.952,0.62,1.719,0.692,0.01,68.066,0.499,0.02,0.952,1.04
00218D.png,6.564,2.154,8.337,3.011,32.022,0.653,1.782,0.706,0.013,66.97,0.485,0.026,0.942,1.078
00225D.png,6.612,2.141,9.025,3.404,28.806,0.606,1.777,0.675,0.013,66.991,0.475,0.028,0.96,1.047
00229D.png,6.433,2.157,7.071,2.655,24.654,0.533,1.71,0.744,0.011,67.676,0.473,0.026,0.961,0.839
00233D.png,6.655,2.098,8.698,3.354,29.211,0.627,1.828,0.683,0.012,67.175,0.473,0.029,0.955,1.086
00237D.png,7.202,2.343,12.967,4.859,46.73,0.591,1.798,0.69,0.042,61.926,0.588,0.021,0.844,1.038
00241D.png,7.364,2.685,13.569,5.672,44.727,0.587,1.844,0.708,0.043,61.752,0.614,0.018,0.889,1.013
00245D.png,7.419,2.481,15.934,5.956,47.948,0.555,1.779,0.702,0.045,61.644,0.63,0.017,0.857,1.012
00258D.png,7.516,3.036,12.154,4.715,57.827,0.65,1.298,0.756,0.049,61.205,0.599,0.016,0.846,0.977
00262D.png,7.473,2.998,12.43,4.731,56.617,0.57,1.321,0.738,0.048,61.317,0.604,0.016,0.872,0.992
00266D.png,6.785,2.52,9.562,3.332,33.55,0.482,1.662,0.641,0.019,65.259,0.466,0.026,0.87,0.954
