filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,5.402,3.304,6.16,1.563,23.546,0.655,1.217,0.632,0.008,69.057,0.445,0.006,0.876,0.788
00008N.png,5.895,3.82,7.476,1.965,37.268,0.689,1.021,0.728,0.017,65.828,0.53,0.006,0.878,0.984
00012N.png,5.493,3.421,5.976,1.685,30.445,0.589,1.235,0.671,0.012,67.212,0.494,0.005,0.896,0.832
00016N.png,5.471,3.103,7.344,2.171,29.093,0.606,1.372,0.664,0.011,67.779,0.484,0.009,0.89,0.901
00020N.png,3.663,1.848,5.967,1.192,16.158,0.691,0.864,0.532,0.004,72.397,0.353,0.007,0.746,0.914
00024N.png,4.718,2.639,6.178,1.532,20.336,0.648,1.344,0.607,0.006,70.229,0.416,0.007,0.824,0.908
00028N.png,4.802,2.928,6.04,1.369,20.359,0.612,1.29,0.622,0.007,69.527,0.396,0.009,0.765,0.892
00032N.png,4.5,2.343,7.219,1.742,29.104,0.632,1.317,0.653,0.01,68.212,0.457,0.004,0.738,0.87
00036N.png,3.81,1.803,6.815,1.511,22.086,0.681,1.405,0.599,0.007,69.814,0.395,0.007,0.673,0.843
00040N.png,3.897,1.935,5.172,1.15,15.273,0.623,1.182,0.565,0.005,71.399,0.329,0.008,0.709,0.85
00047N.png,5.259,3.152,7.536,1.849,30.36,0.592,1.439,0.65,0.011,67.57,0.495,0.003,0.862,0.893
00051N.png,5.117,2.649,8.561,2.126,36.188,0.617,1.46,0.641,0.012,67.272,0.424,0.006,0.818,0.917
00055D.png,6.74,4.096,19.852,6.114,62.34,0.609,1.403,0.726,0.057,60.605,0.717,0.007,0.925,0.95
00081D.png,7.295,4.136,14.866,4.615,59.359,0.561,1.515,0.792,0.075,59.384,0.677,0.009,0.926,0.931
00085D.png,7.077,3.956,12.386,4.368,41.649,0.698,1.594,0.845,0.052,60.948,0.666,0.011,0.966,1.106
00091D.png,7.005,4.802,11.699,3.659,51.072,0.475,1.667,0.796,0.069,59.74,0.653,0.013,0.96,0.94
00095D.png,7.327,3.877,17.186,6.109,61.398,0.473,1.679,0.783,0.092,58.474,0.7,0.011,1.017,1.046
00099D.png,7.536,3.387,25.456,10.018,56.737,0.632,1.587,0.736,0.063,60.143,0.7,0.013,1.022,1.16
00103D.png,7.326,3.72,18.658,6.675,55.738,0.563,1.609,0.718,0.055,60.764,0.633,0.021,1.019,1.134
