filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.203,4.109,6.843,1.981,30.537,0.681,1.722,0.979,0.009,68.516,0.576,0.022,0.942,0.891
00008N.png,6.589,4.702,8.31,2.41,46.527,0.695,1.611,1.031,0.021,64.823,0.633,0.021,0.957,1.01
00012N.png,6.312,4.31,6.506,2.084,38.746,0.598,1.633,0.959,0.015,66.269,0.601,0.014,0.929,0.864
00016N.png,6.254,4.079,8.421,2.798,36.444,0.601,1.606,0.993,0.014,66.716,0.622,0.021,0.976,0.944
00020N.png,4.902,2.616,6.474,1.713,19.406,0.754,1.597,1.089,0.003,74.095,0.579,0.016,1.027,1.102
00024N.png,5.77,3.537,7.045,2.081,27.475,0.702,1.819,1.067,0.007,69.782,0.606,0.018,1.001,1.053
00028N.png,5.992,4.051,6.99,1.922,28.97,0.672,1.869,1.169,0.008,68.93,0.625,0.017,0.974,1.038
00032N.png,5.694,3.439,8.104,2.359,36.762,0.684,1.854,1.191,0.011,67.693,0.671,0.014,1.001,1.033
00036N.png,5.191,2.956,7.65,2.128,29.749,0.73,1.872,1.143,0.007,69.795,0.652,0.014,1.012,1.055
00040N.png,5.219,2.963,5.895,1.696,22.652,0.713,1.907,1.147,0.004,71.89,0.612,0.012,1.02,1.062
00047N.png,6.141,4.039,8.419,2.432,36.849,0.622,1.841,1.068,0.014,66.746,0.651,0.013,0.955,0.965
00051N.png,6.164,3.669,9.924,3.079,41.11,0.665,1.803,1.112,0.015,66.276,0.653,0.017,0.984,1.02
00055D.png,7.201,5.682,21.784,6.794,71.8,0.604,1.665,0.974,0.072,59.553,0.775,0.021,1.007,0.966
00081D.png,7.639,6.122,16.135,5.112,68.768,0.533,1.526,0.991,0.098,58.219,0.735,0.019,0.935,0.963
00085D.png,7.346,6.107,13.358,4.768,46.187,0.659,1.518,1.014,0.067,59.85,0.717,0.028,0.987,1.064
00091D.png,7.368,6.314,12.538,3.874,62.255,0.459,1.735,0.975,0.089,58.613,0.713,0.029,1.045,0.973
00095D.png,7.512,6.019,18.423,6.584,70.791,0.451,1.593,0.973,0.121,57.285,0.753,0.022,0.896,0.933
00099D.png,7.768,5.575,28.125,11.031,63.882,0.6,1.557,0.952,0.076,59.329,0.746,0.044,1.012,1.11
00103D.png,7.481,5.432,19.902,7.153,64.586,0.521,1.519,0.902,0.07,59.693,0.682,0.04,0.972,1.058
00107D.png,7.091,4.779,16.57,5.33,51.779,0.57,1.596,0.892,0.033,62.885,0.658,0.044,0.993,1.058
00111D.png,7.348,4.649,19.336,5.931,74.936,0.788,1.343,0.753,0.043,61.825,0.597,0.035,1.09,1.149
00115D.png,7.061,5.029,15.712,4.741,63.31,0.547,1.608,0.873,0.051,61.068,0.617,0.036,1.07,1.059
00119D.png,6.815,4.474,13.417,3.823,56.136,0.57,1.81,0.864,0.034,62.813,0.613,0.024,0.991,1.092
00123D.png,7.514,5.832,17.576,6.17,63.94,0.621,1.731,1.029,0.072,59.539,0.722,0.026,0.977,1.011
00127D.png,6.915,5.545,13.7,3.887,39.757,0.374,1.573,0.959,0.034,62.799,0.709,0.024,0.964,0.96
00131D.png,7.109,5.23,15.322,4.501,44.487,0.572,1.806,0.945,0.038,62.375,0.678,0.023,0.969,0.95
00135D.png,6.848,5.274,11.804,3.637,53.629,0.378,1.657,0.969,0.06,60.341,0.66,0.027,0.976,1.006
00139D.png,7.421,5.908,15.548,5.214,53.902,0.463,1.523,0.973,0.072,59.576,0.726,0.025,0.948,0.967
00143D.png,7.288,5.67,16.115,5.321,44.639,0.441,1.878,0.966,0.075,59.367,0.713,0.024,0.955,0.886
00147D.png,7.019,5.477,13.821,4.359,41.077,0.419,1.579,0.966,0.034,62.799,0.722,0.025,0.966,0.975
00151D.png,7.305,5.925,13.836,4.749,48.936,0.392,1.445,1.014,0.056,60.687,0.743,0.03,0.951,0.984
00158D.png,7.373,6.111,9.731,3.324,47.149,0.414,1.066,0.999,0.061,60.286,0.662,0.03,0.942,0.989
00162D.png,7.75,6.621,15.357,5.76,64.599,0.665,0.784,1.073,0.106,57.862,0.837,0.017,0.938,0.994
00169D.png,7.27,5.07,12.305,3.971,56.796,0.693,1.38,0.971,0.036,62.576,0.68,0.04,0.929,0.996
00174D.png,7.338,5.192,12.471,3.986,50.694,0.633,1.449,0.983,0.041,62.012,0.717,0.025,0.935,0.962
00178D.png,7.338,5.518,14.295,4.188,53.778,0.684,1.406,0.957,0.035,62.681,0.705,0.027,0.945,0.987
00182D.png,7.562,6.04,15.001,4.392,58.01,0.665,1.326,0.986,0.052,60.992,0.731,0.022,0.938,0.973
00186D.png,7.671,5.566,15.836,5.031,57.346,0.548,1.582,0.951,0.071,59.649,0.72,0.024,0.917,0.936
00191D.png,7.552,5.481,15.617,5.196,58.955,0.653,1.656,0.92,0.051,61.091,0.691,0.027,0.951,1.01
00196D.png,7.282,4.119,14.859,4.928,43.366,0.549,1.791,0.796,0.028,63.713,0.586,0.035,0.98,0.99
00200D.png,6.038,3.36,9.293,2.499,44.968,0.634,1.53,0.922,0.017,65.937,0.563,0.02,0.987,1.004
00204D.png,6.84,4.726,11.526,3.259,43.366,0.564,1.576,0.93,0.02,65.05,0.639,0.028,0.92,0.958
00209D.png,7.013,4.864,12.125,3.611,44.719,0.602,1.715,0.939,0.024,64.301,0.655,0.025,0.947,0.949
00213D.png,6.77,4.543,10.841,3.269,33.723,0.554,1.611,0.957,0.014,66.649,0.662,0.024,0.941,0.906
00218D.png,6.902,4.791,10.02,3.279,37.898,0.582,1.713,0.97,0.019,65.447,0.652,0.027,0.944,0.953
00225D.png,6.929,4.958,11.157,3.731,33.998,0.519,1.568,0.973,0.018,65.515,0.666,0.033,0.957,0.946
00229D.png,6.859,4.825,8.565,2.906,32.318,0.45,1.493,1.009,0.017,65.81,0.648,0.031,0.95,0.94
00233D.png,6.901,4.732,10.471,3.55,33.837,0.55,1.709,0.961,0.018,65.644,0.64,0.033,0.959,0.971
00237D.png,7.424,5.615,15.63,5.258,53.427,0.517,1.721,0.995,0.064,60.04,0.756,0.023,0.964,0.995
00241D.png,7.478,5.945,16.34,6.29,47.622,0.521,1.684,1.021,0.064,60.05,0.797,0.023,0.99,0.986
00245D.png,7.618,6.025,19.529,6.647,53.368,0.474,1.553,1.022,0.066,59.938,0.816,0.018,0.984,0.987
00258D.png,7.745,6.154,15.009,5.271,69.17,0.599,1.162,1.029,0.076,59.347,0.789,0.019,0.962,0.974
00262D.png,7.711,5.787,15.259,5.276,69.904,0.53,1.272,1.039,0.074,59.451,0.802,0.018,0.971,0.977
00266D.png,6.965,5.164,12.466,3.84,45.702,0.405,1.377,1.006,0.03,63.392,0.699,0.041,0.919,0.937
00270D.png,7.457,5.785,15.998,5.057,56.508,0.464,1.791,1.02,0.075,59.407,0.757,0.031,0.935,0.964
00275D.png,7.421,5.894,15.976,5.629,56.942,0.639,1.29,0.962,0.075,59.373,0.729,0.029,0.933,0.969
00279D.png,7.262,6.042,14.191,4.593,61.218,0.482,1.397,0.95,0.062,60.185,0.727,0.026,0.887,0.945
00283D.png,7.269,5.934,14.982,4.854,64.043,0.513,1.446,0.953,0.063,60.146,0.719,0.028,0.901,0.942
00287D.png,7.134,5.215,16.355,5.209,60.349,0.566,1.675,0.875,0.049,61.242,0.689,0.032,0.891,0.938
00291D.png,7.039,5.296,13.317,4.109,58.932,0.511,1.694,0.906,0.049,61.217,0.674,0.027,0.897,0.886
00298D.png,7.114,5.416,13.851,4.215,62.354,0.514,1.739,0.94,0.053,60.92,0.698,0.024,0.908,0.909
00303D.png,7.291,5.477,12.924,4.136,53.649,0.553,1.817,1.009,0.049,61.272,0.708,0.021,0.94,0.942
00307D.png,7.589,5.995,14.936,4.684,62.775,0.493,1.893,1.05,0.081,59.046,0.742,0.018,0.93,0.894
