filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,5.82,2.587,7.195,2.104,28.376,0.68,1.612,0.817,0.007,69.383,0.552,0.025,0.933,0.966
00008N.png,6.3,3.308,8.64,2.51,43.997,0.703,1.473,0.906,0.018,65.622,0.603,0.022,0.923,1.05
00012N.png,5.977,2.732,7.105,2.279,37.558,0.581,1.48,0.926,0.014,66.754,0.59,0.02,0.943,0.981
00016N.png,6.006,2.472,9.096,3.029,35.606,0.594,1.541,0.905,0.012,67.286,0.614,0.027,0.939,0.983
00020N.png,4.383,1.277,6.897,1.71,18.848,0.722,1.344,0.842,0.002,74.416,0.546,0.029,0.95,1.071
00024N.png,5.337,1.951,7.623,2.174,25.173,0.688,1.733,0.901,0.005,70.814,0.578,0.026,0.959,1.076
00028N.png,5.498,2.527,7.317,1.917,25.443,0.661,1.73,0.939,0.006,70.209,0.583,0.023,0.903,1.016
00032N.png,5.183,1.859,8.398,2.393,35.15,0.66,1.743,1.004,0.01,68.266,0.637,0.019,0.909,0.993
00036N.png,4.632,1.531,8.051,2.093,26.608,0.718,1.772,0.916,0.005,70.804,0.609,0.021,0.91,0.989
00040N.png,4.656,1.559,6.23,1.671,20.133,0.69,1.765,0.884,0.003,72.921,0.565,0.021,0.928,1.005
00047N.png,5.801,2.343,8.851,2.551,36.326,0.615,1.814,0.919,0.012,67.36,0.626,0.017,0.923,1.011
00051N.png,5.857,2.038,10.298,3.197,40.841,0.647,1.755,0.963,0.013,66.915,0.649,0.023,0.914,1.017
00055D.png,7.143,4.235,22.604,7.171,73.383,0.6,1.73,0.897,0.066,59.904,0.767,0.031,0.892,0.991
00081D.png,7.613,4.424,16.992,5.453,69.709,0.54,1.565,0.935,0.09,58.571,0.721,0.024,0.881,0.925
00085D.png,7.366,4.201,14.416,5.165,46.524,0.652,1.407,0.949,0.061,60.299,0.709,0.036,0.917,1.069
