filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,7.507,4.035,7.783,2.824,53.586,0.547,1.07,1.092,0.111,57.665,0.335,0.132,0.446,0.646
00008N.png,7.076,3.861,8.502,2.705,52.628,0.666,1.322,0.949,0.043,61.826,0.547,0.032,0.775,0.962
00012N.png,7.284,3.816,7.804,2.844,51.645,0.533,1.083,1.0,0.073,59.471,0.441,0.083,0.574,0.74
00016N.png,7.48,3.775,10.502,3.944,58.908,0.492,0.964,0.912,0.111,57.666,0.412,0.13,0.52,0.704
00020N.png,6.571,2.832,8.312,2.559,38.198,0.574,1.006,1.313,0.029,63.492,0.313,0.167,0.527,0.69
00024N.png,7.271,3.535,9.813,3.346,49.705,0.505,0.994,1.212,0.076,59.303,0.342,0.18,0.453,0.649
00028N.png,6.93,3.517,8.667,2.632,60.458,0.504,1.036,1.21,0.078,59.235,0.416,0.131,0.604,0.777
00032N.png,7.125,3.37,10.02,3.299,59.825,0.524,1.041,1.104,0.066,59.95,0.389,0.142,0.531,0.703
00036N.png,6.448,2.661,9.811,2.891,48.132,0.597,1.3,1.158,0.035,62.633,0.41,0.138,0.587,0.706
00040N.png,6.614,2.793,7.712,2.458,44.944,0.555,1.192,1.308,0.037,62.445,0.389,0.155,0.576,0.684
00047N.png,7.011,3.634,9.226,3.083,46.08,0.518,1.121,1.028,0.044,61.671,0.525,0.05,0.69,0.858
00051N.png,6.949,3.39,10.747,3.582,55.917,0.53,1.117,0.957,0.048,61.283,0.509,0.071,0.773,0.909
00055D.png,7.233,3.637,20.624,6.305,70.026,0.604,1.591,0.772,0.066,59.91,0.73,0.006,0.819,0.97
00081D.png,7.527,3.936,14.923,4.658,64.991,0.547,1.512,0.818,0.086,58.769,0.691,0.007,0.81,0.9
00085D.png,7.15,3.444,12.263,4.283,41.671,0.664,1.268,0.802,0.052,61.01,0.666,0.008,0.863,1.078
00091D.png,7.247,3.888,12.841,3.592,58.652,0.465,1.683,0.67,0.074,59.429,0.627,0.013,0.697,0.942
00095D.png,7.07,3.811,16.323,5.168,69.993,0.425,1.185,0.64,0.089,58.655,0.503,0.028,0.74,0.942
00099D.png,7.564,3.316,25.389,9.672,55.32,0.604,1.242,0.682,0.055,60.737,0.705,0.016,0.951,1.147
00103D.png,7.295,3.458,18.24,6.285,61.982,0.491,1.07,0.661,0.059,60.403,0.63,0.015,0.908,1.112
00107D.png,6.972,2.939,15.039,4.776,48.795,0.568,1.444,0.69,0.029,63.56,0.616,0.01,0.914,1.113
00111D.png,7.323,3.187,18.4,5.58,72.26,0.785,1.243,0.647,0.038,62.284,0.607,0.016,0.928,1.182
00115D.png,7.035,3.138,15.002,4.531,61.765,0.544,1.524,0.708,0.047,61.438,0.594,0.015,0.899,1.1
00119D.png,6.765,2.75,13.942,3.882,55.416,0.552,1.691,0.704,0.033,62.936,0.592,0.016,0.814,1.12
00123D.png,7.287,3.438,16.899,5.656,56.292,0.625,1.525,0.756,0.053,60.899,0.635,0.011,0.87,1.039
00127D.png,6.77,3.394,12.916,3.547,36.083,0.388,1.685,0.711,0.03,63.332,0.629,0.009,0.805,0.963
00131D.png,6.941,3.119,14.52,4.139,39.789,0.564,1.76,0.684,0.03,63.356,0.608,0.009,0.783,0.984
00135D.png,6.617,2.774,11.285,3.145,43.191,0.397,1.61,0.611,0.04,62.087,0.535,0.006,0.701,1.013
00139D.png,7.166,3.013,13.822,4.287,43.786,0.479,1.403,0.617,0.048,61.312,0.603,0.005,0.713,0.856
00143D.png,6.99,2.638,14.451,4.394,35.736,0.423,1.828,0.598,0.051,61.067,0.594,0.005,0.709,0.799
00147D.png,6.966,3.664,12.945,4.07,39.386,0.419,1.597,0.793,0.034,62.87,0.673,0.006,0.885,0.925
00151D.png,7.136,3.435,13.071,4.12,42.033,0.405,1.561,0.708,0.043,61.834,0.655,0.006,0.814,0.928
00158D.png,7.217,3.314,9.588,3.16,42.221,0.429,1.352,0.715,0.048,61.323,0.574,0.01,0.775,0.929
00162D.png,7.701,4.773,14.227,5.301,60.499,0.674,0.875,0.959,0.095,58.369,0.807,0.004,0.912,1.007
00169D.png,7.143,3.343,11.581,3.636,54.133,0.702,1.338,0.775,0.03,63.327,0.632,0.011,0.813,1.035
00174D.png,7.134,3.103,11.456,3.622,46.569,0.656,1.436,0.809,0.034,62.87,0.665,0.007,0.866,1.011
00178D.png,7.185,3.14,13.456,3.853,49.02,0.695,1.15,0.741,0.03,63.34,0.644,0.009,0.826,1.012
00182D.png,7.452,3.788,13.99,4.008,52.815,0.682,1.18,0.766,0.045,61.642,0.67,0.006,0.813,1.007
00186D.png,7.524,3.423,14.359,4.56,50.945,0.578,1.58,0.742,0.061,60.266,0.679,0.007,0.813,0.844
00191D.png,7.464,3.628,14.75,4.912,54.994,0.672,1.625,0.767,0.047,61.447,0.672,0.011,0.918,1.051
00196D.png,6.986,2.18,13.973,4.631,37.926,0.561,1.698,0.587,0.021,64.914,0.552,0.012,0.887,1.006
00200D.png,6.435,2.444,10.269,2.85,47.814,0.647,1.705,0.915,0.026,63.984,0.573,0.028,0.807,0.997
00204D.png,6.676,3.001,11.041,3.044,40.403,0.573,1.546,0.756,0.02,65.115,0.6,0.012,0.874,1.024
00209D.png,6.825,3.021,11.629,3.323,41.684,0.61,1.664,0.729,0.021,64.902,0.599,0.012,0.853,0.999
00213D.png,6.756,2.951,10.7,3.143,33.054,0.556,1.62,0.787,0.017,65.704,0.607,0.018,0.861,0.955
00218D.png,6.82,3.265,9.863,3.122,36.047,0.586,1.709,0.817,0.021,64.856,0.615,0.02,0.904,1.014
00225D.png,6.962,3.431,10.971,3.631,33.82,0.526,1.608,0.828,0.027,63.862,0.617,0.025,0.926,0.961
00229D.png,7.119,3.689,9.009,3.079,37.019,0.442,1.221,0.915,0.043,61.845,0.593,0.036,0.865,0.885
00233D.png,7.097,3.351,11.07,3.782,37.045,0.527,1.522,0.816,0.039,62.192,0.596,0.037,0.851,1.003
00237D.png,7.261,3.486,14.027,4.522,46.406,0.546,1.727,0.742,0.048,61.329,0.678,0.005,0.832,1.006
00241D.png,7.282,3.702,14.44,5.404,41.638,0.534,1.547,0.826,0.051,61.044,0.749,0.004,0.951,0.992
00245D.png,7.418,4.066,17.414,5.782,46.661,0.505,1.631,0.845,0.05,61.116,0.77,0.004,0.929,1.002
00258D.png,7.69,4.708,14.055,4.812,64.928,0.608,1.136,0.938,0.067,59.84,0.753,0.007,0.935,0.982
00262D.png,7.606,4.386,13.973,4.719,64.202,0.539,1.254,0.931,0.064,60.088,0.76,0.004,0.928,0.996
00266D.png,6.856,3.287,11.647,3.421,40.108,0.413,1.499,0.767,0.028,63.666,0.615,0.009,0.776,0.875
00270D.png,7.284,3.494,14.106,4.356,49.17,0.478,1.804,0.749,0.057,60.554,0.677,0.005,0.799,0.9
00275D.png,7.298,4.013,14.769,5.13,54.418,0.661,1.378,0.793,0.064,60.076,0.699,0.01,0.883,0.975
00279D.png,7.197,4.106,13.006,4.202,57.984,0.493,1.424,0.793,0.057,60.581,0.695,0.007,0.859,0.894
00283D.png,7.214,3.986,13.709,4.4,61.011,0.513,1.309,0.784,0.056,60.623,0.676,0.007,0.855,0.892
00287D.png,7.063,3.477,14.935,4.727,56.772,0.565,1.552,0.708,0.044,61.735,0.655,0.011,0.821,0.985
00291D.png,6.984,3.482,12.397,3.82,56.406,0.517,1.666,0.736,0.045,61.581,0.639,0.011,0.84,0.907
