filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.088,3.675,5.774,1.611,27.953,0.675,1.683,0.867,0.008,69.38,0.538,0.001,0.963,0.937
00008N.png,6.563,4.379,7.818,2.192,46.221,0.695,1.661,1.012,0.021,64.876,0.621,0.009,0.99,1.054
00012N.png,6.11,3.837,5.495,1.696,33.856,0.594,1.476,0.872,0.012,67.448,0.564,0.0,0.946,0.923
00016N.png,6.019,3.542,6.659,2.169,31.192,0.608,1.526,0.863,0.01,68.19,0.569,0.0,0.963,0.975
00020N.png,4.572,2.034,4.867,1.203,15.787,0.755,1.233,0.84,0.002,75.923,0.49,0.0,0.981,1.129
00024N.png,5.496,2.931,5.468,1.589,22.691,0.699,1.715,0.902,0.005,71.534,0.545,0.0,0.976,1.077
00028N.png,5.709,3.531,5.302,1.452,24.783,0.652,1.731,0.968,0.006,70.288,0.559,0.0,0.935,1.048
00032N.png,5.462,2.701,6.874,1.903,33.056,0.677,1.754,1.042,0.009,68.749,0.62,0.0,0.957,1.038
00036N.png,4.741,2.31,5.758,1.52,23.75,0.738,1.763,0.915,0.004,71.762,0.574,0.0,0.944,1.047
00040N.png,5.036,2.338,4.968,1.363,20.475,0.712,1.875,0.981,0.003,72.904,0.552,0.002,1.006,1.09
00047N.png,6.045,3.409,7.621,2.111,34.934,0.609,1.798,0.981,0.012,67.359,0.621,0.002,0.985,1.012
00051N.png,6.039,3.029,8.287,2.483,37.013,0.658,1.703,1.001,0.012,67.411,0.61,0.001,0.996,1.068
00055D.png,7.153,5.325,20.556,6.344,70.473,0.597,1.724,0.964,0.068,59.821,0.77,0.002,0.941,0.959
00081D.png,7.551,5.46,14.63,4.594,65.818,0.535,1.569,0.969,0.088,58.687,0.726,0.001,0.964,0.967
00085D.png,7.267,5.091,12.129,4.382,42.731,0.647,1.208,0.998,0.061,60.271,0.716,0.002,0.992,1.073
00091D.png,7.322,5.975,11.786,3.645,62.145,0.438,1.711,0.969,0.089,58.618,0.709,0.016,0.98,0.976
00095D.png,7.537,5.113,17.166,6.115,70.137,0.443,1.586,0.969,0.115,57.525,0.75,0.005,0.919,0.992
00099D.png,7.681,4.706,25.217,9.872,59.346,0.606,1.541,0.912,0.068,59.788,0.741,0.002,1.034,1.137
00103D.png,7.471,4.631,17.482,6.252,61.654,0.525,1.537,0.853,0.062,60.219,0.666,0.004,1.003,1.105
00107D.png,6.973,3.946,14.058,4.498,47.01,0.576,1.584,0.828,0.028,63.671,0.637,0.002,1.029,1.127
00111D.png,7.233,4.379,13.816,4.292,69.787,0.807,1.331,0.732,0.033,62.979,0.542,0.0,1.026,1.211
00115D.png,6.966,4.356,12.703,3.832,56.293,0.558,1.644,0.812,0.04,62.083,0.586,0.001,1.058,1.121
00119D.png,6.821,4.04,12.128,3.374,52.952,0.575,1.867,0.835,0.031,63.205,0.597,0.007,1.058,1.187
00123D.png,7.464,4.964,16.446,5.835,63.56,0.602,1.701,1.008,0.069,59.766,0.716,0.01,0.994,1.047
00127D.png,6.925,4.909,13.3,3.781,40.239,0.356,1.41,0.957,0.036,62.589,0.702,0.014,0.989,0.965
00131D.png,7.099,4.439,14.313,4.186,42.306,0.549,1.809,0.916,0.038,62.36,0.666,0.011,0.99,0.996
00135D.png,6.848,4.588,10.913,3.433,56.491,0.368,1.388,0.94,0.067,59.896,0.652,0.018,1.007,1.041
00139D.png,7.395,4.747,15.024,5.015,53.174,0.462,1.581,0.962,0.072,59.559,0.724,0.015,0.97,0.959
00143D.png,7.272,4.175,14.998,4.993,42.102,0.408,1.871,0.925,0.07,59.702,0.694,0.015,0.957,0.891
00147D.png,7.031,4.767,13.833,4.321,42.174,0.408,1.461,0.966,0.036,62.529,0.72,0.024,0.99,0.976
00151D.png,7.302,5.002,13.39,4.617,49.221,0.385,1.369,1.012,0.061,60.281,0.742,0.022,0.98,0.986
00158D.png,7.368,5.058,9.747,3.317,47.464,0.425,1.33,0.988,0.057,60.535,0.656,0.026,0.953,0.986
00162D.png,7.718,6.224,14.89,5.55,64.45,0.673,1.358,1.085,0.101,58.099,0.836,0.009,0.946,1.016
00169D.png,7.066,4.384,10.249,3.261,52.94,0.715,1.452,0.902,0.028,63.589,0.663,0.001,0.962,1.058
00174D.png,7.185,4.451,11.022,3.465,47.288,0.658,1.59,0.928,0.033,62.942,0.697,0.002,0.965,1.018
00178D.png,7.226,4.601,12.697,3.657,50.336,0.704,1.436,0.905,0.028,63.658,0.688,0.003,0.955,1.026
00182D.png,7.449,5.134,13.391,3.859,53.785,0.682,1.321,0.934,0.043,61.757,0.718,0.001,0.964,1.02
00186D.png,7.578,4.616,14.538,4.534,54.556,0.566,1.673,0.916,0.066,59.966,0.702,0.006,0.951,0.914
00191D.png,7.491,4.443,13.828,4.528,57.037,0.666,1.736,0.877,0.042,61.895,0.668,0.005,0.959,1.053
00196D.png,6.923,3.317,10.996,3.696,33.395,0.567,1.672,0.703,0.018,65.513,0.523,0.001,0.972,0.994
00200D.png,5.915,2.841,7.636,2.005,42.658,0.646,1.568,0.826,0.015,66.429,0.529,0.004,1.044,1.122
00204D.png,6.721,4.013,9.832,2.755,40.824,0.578,1.673,0.862,0.017,65.718,0.61,0.009,0.979,1.037
00209D.png,6.886,3.976,10.35,3.054,41.676,0.612,1.73,0.873,0.02,65.078,0.629,0.005,0.994,1.012
00213D.png,6.717,3.831,10.015,2.924,33.216,0.566,1.723,0.907,0.013,66.973,0.641,0.012,1.003,0.995
00218D.png,6.781,4.08,8.865,2.852,35.854,0.593,1.79,0.911,0.016,66.02,0.634,0.01,1.007,1.029
00225D.png,6.658,4.201,9.059,3.014,28.722,0.533,1.62,0.87,0.014,66.616,0.639,0.001,1.013,0.98
00229D.png,6.798,4.318,8.092,2.689,31.507,0.46,1.65,0.976,0.015,66.315,0.636,0.019,1.009,0.934
00233D.png,6.742,3.975,9.234,3.099,30.862,0.563,1.783,0.893,0.014,66.758,0.617,0.008,0.992,1.051
00237D.png,7.261,4.908,13.606,4.561,47.852,0.521,1.755,0.937,0.053,60.924,0.738,0.001,0.982,1.019
00241D.png,7.388,5.041,15.124,5.832,44.787,0.523,1.698,0.995,0.06,60.333,0.79,0.005,1.003,0.984
00245D.png,7.547,5.412,17.975,6.114,50.378,0.478,1.62,1.0,0.062,60.234,0.81,0.003,1.007,0.983
00258D.png,7.652,5.269,13.483,4.697,64.597,0.607,1.102,1.005,0.064,60.091,0.782,0.001,0.969,0.984
00262D.png,7.648,4.893,14.284,4.896,68.075,0.536,1.342,1.026,0.067,59.84,0.794,0.005,0.99,1.008
00266D.png,6.903,4.122,11.592,3.53,42.939,0.412,1.565,0.96,0.03,63.316,0.684,0.019,0.998,0.968
00270D.png,7.386,4.739,14.868,4.708,54.838,0.458,1.804,0.987,0.073,59.487,0.747,0.011,0.967,0.959
00275D.png,7.317,5.149,13.924,4.868,52.739,0.651,1.228,0.923,0.063,60.117,0.716,0.001,0.958,0.966
00279D.png,7.106,5.145,12.141,3.893,54.456,0.498,1.491,0.868,0.051,61.079,0.703,0.001,0.941,0.942
00283D.png,7.124,4.959,13.011,4.184,60.286,0.522,1.528,0.891,0.053,60.895,0.699,0.001,0.96,0.942
00287D.png,6.998,4.303,13.869,4.375,56.338,0.569,1.674,0.801,0.041,61.997,0.662,0.001,1.073,1.045
00291D.png,6.881,4.279,11.397,3.462,55.362,0.514,1.756,0.823,0.041,61.977,0.645,0.002,0.991,0.91
00298D.png,6.962,4.458,12.05,3.568,58.456,0.51,1.767,0.856,0.044,61.7,0.665,0.002,1.009,0.98
00303D.png,7.144,4.309,11.096,3.52,48.136,0.551,1.813,0.928,0.043,61.814,0.681,0.001,0.978,0.978
00307D.png,7.43,4.457,13.346,4.067,58.375,0.489,1.9,0.965,0.068,59.826,0.717,0.003,0.94,0.91
00311D.png,7.257,5.218,12.189,3.948,51.839,0.481,1.582,0.938,0.057,60.582,0.727,0.001,0.922,0.958
00315D.png,7.288,4.695,11.992,3.914,51.42,0.502,1.684,0.902,0.045,61.588,0.692,0.001,0.86,0.911
00319D.png,6.975,4.093,10.484,3.18,50.016,0.507,1.755,0.844,0.041,62.021,0.635,0.001,0.969,0.96
00323D.png,7.037,4.817,11.317,3.506,49.791,0.538,1.646,0.918,0.043,61.824,0.679,0.002,0.965,1.041
00327D.png,7.323,5.046,13.161,4.435,53.707,0.616,1.161,0.951,0.055,60.727,0.747,0.001,0.966,1.021
00332D.png,7.368,4.632,13.184,4.385,52.134,0.56,1.592,0.891,0.042,61.891,0.669,0.006,0.978,1.008
00337D.png,7.105,4.298,9.551,3.173,49.8,0.563,1.553,0.812,0.034,62.815,0.584,0.005,0.946,0.902
00341D.png,7.163,4.718,9.927,3.184,51.777,0.562,1.659,0.897,0.047,61.394,0.646,0.002,0.942,0.991
00345D.png,7.208,4.57,10.75,3.524,56.196,0.585,1.74,0.862,0.045,61.576,0.631,0.005,0.966,0.995
