filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.844,2.085,8.822,3.476,34.048,0.712,1.618,0.879,0.036,62.59,0.263,0.148,0.477,0.787
00008N.png,6.844,2.288,8.592,3.327,37.059,0.774,1.369,0.959,0.034,62.828,0.292,0.093,0.503,0.863
00012N.png,6.91,1.897,8.924,3.881,37.204,0.683,1.629,1.029,0.045,61.616,0.284,0.121,0.445,0.744
00016N.png,6.746,1.721,10.013,4.318,32.484,0.638,1.492,0.892,0.034,62.784,0.345,0.105,0.544,0.824
00020N.png,6.701,1.458,10.189,4.492,29.706,0.684,1.303,1.245,0.044,61.677,0.157,0.213,0.258,0.596
00024N.png,6.734,1.792,9.801,3.824,33.915,0.659,1.58,1.024,0.042,61.937,0.294,0.142,0.438,0.813
00028N.png,6.797,2.297,9.235,3.425,34.182,0.665,1.693,1.144,0.037,62.473,0.312,0.122,0.457,0.797
00032N.png,6.582,1.617,9.106,3.653,32.802,0.695,1.513,1.055,0.033,62.95,0.306,0.101,0.431,0.793
00036N.png,6.398,1.635,9.509,3.603,33.164,0.668,1.541,1.057,0.033,62.939,0.335,0.095,0.363,0.73
00040N.png,6.635,1.636,8.967,3.647,32.552,0.658,1.598,1.164,0.038,62.282,0.239,0.177,0.327,0.685
00047N.png,6.706,1.609,9.732,3.953,32.638,0.651,1.473,0.997,0.046,61.545,0.3,0.112,0.453,0.79
00051N.png,6.8,1.873,10.781,4.345,33.839,0.668,1.425,0.867,0.041,62.012,0.357,0.1,0.591,0.883
00055D.png,6.717,2.602,11.69,4.187,36.163,0.726,1.275,0.537,0.044,61.658,0.268,0.016,0.652,0.866
00081D.png,6.775,2.218,10.527,3.685,34.842,0.681,1.358,0.665,0.059,60.422,0.361,0.023,0.615,0.823
00085D.png,6.88,2.262,10.88,4.32,35.281,0.765,1.475,0.748,0.048,61.307,0.473,0.033,0.747,1.055
00091D.png,6.754,2.885,10.604,3.567,35.377,0.61,1.623,0.734,0.056,60.651,0.428,0.047,0.557,0.837
00095D.png,6.96,2.266,12.373,4.69,38.166,0.616,1.551,0.629,0.074,59.435,0.359,0.031,0.664,0.875
00099D.png,7.157,2.141,16.804,6.985,38.301,0.724,1.374,0.555,0.044,61.716,0.398,0.014,0.881,1.15
00103D.png,7.055,2.778,13.197,5.048,39.013,0.668,1.511,0.555,0.04,62.112,0.397,0.016,0.878,1.098
00107D.png,7.043,2.212,13.287,5.005,39.204,0.691,1.63,0.602,0.031,63.22,0.439,0.04,0.879,1.091
00111D.png,7.109,3.119,13.867,4.492,54.672,0.817,0.786,0.551,0.029,63.451,0.47,0.009,0.939,1.161
00115D.png,6.899,2.718,12.28,4.416,40.848,0.654,1.546,0.596,0.036,62.608,0.441,0.033,0.849,1.055
00119D.png,6.956,2.727,12.221,4.315,41.313,0.651,1.723,0.668,0.031,63.198,0.479,0.043,0.846,1.079
00123D.png,6.932,2.139,12.256,4.816,36.212,0.715,1.359,0.662,0.044,61.727,0.369,0.028,0.726,1.001
00127D.png,6.638,1.911,12.677,4.498,28.791,0.539,1.753,0.79,0.044,61.726,0.449,0.07,0.673,0.861
00131D.png,6.846,2.233,12.975,4.343,35.487,0.624,1.783,0.671,0.037,62.431,0.528,0.023,0.803,0.985
00135D.png,6.701,1.943,11.63,4.497,31.291,0.548,1.648,0.758,0.049,61.229,0.367,0.108,0.611,0.885
00139D.png,6.907,1.879,12.22,4.689,33.939,0.625,1.578,0.61,0.049,61.263,0.426,0.038,0.661,0.855
00143D.png,6.836,1.961,13.967,4.936,33.127,0.491,1.871,0.602,0.06,60.346,0.547,0.022,0.794,0.903
00147D.png,6.826,1.712,13.224,5.064,33.053,0.586,1.707,0.767,0.046,61.465,0.43,0.075,0.626,0.807
00151D.png,6.914,1.693,12.904,5.091,32.086,0.57,1.646,0.725,0.058,60.52,0.402,0.085,0.627,0.816
00158D.png,7.076,1.708,10.959,4.652,37.661,0.61,1.551,0.714,0.066,59.931,0.337,0.108,0.535,0.776
00162D.png,7.016,2.709,10.646,4.121,37.546,0.787,1.067,0.898,0.063,60.166,0.387,0.039,0.658,0.859
00169D.png,6.899,2.379,9.296,3.402,38.355,0.784,1.232,0.641,0.026,64.037,0.413,0.035,0.85,1.038
00174D.png,6.903,2.028,9.789,3.544,35.648,0.743,1.41,0.693,0.029,63.489,0.474,0.036,0.839,1.002
00178D.png,6.907,2.091,10.424,3.656,36.638,0.783,1.227,0.683,0.028,63.665,0.454,0.032,0.819,1.008
00182D.png,6.954,2.351,10.46,3.563,37.279,0.78,1.224,0.707,0.033,62.984,0.452,0.026,0.785,0.991
00186D.png,7.036,2.194,11.739,4.147,37.537,0.679,1.534,0.662,0.046,61.475,0.487,0.026,0.791,0.916
00191D.png,7.05,2.358,11.559,4.163,40.114,0.732,1.448,0.612,0.033,62.949,0.47,0.021,0.894,1.074
00196D.png,6.993,1.875,12.496,4.653,34.68,0.608,1.769,0.515,0.019,65.353,0.46,0.025,0.958,1.031
00200D.png,6.614,1.883,9.643,3.742,36.011,0.727,1.5,0.853,0.025,64.175,0.339,0.102,0.689,0.917
00204D.png,6.776,1.901,10.459,3.78,34.778,0.683,1.618,0.73,0.024,64.322,0.397,0.069,0.796,0.96
00209D.png,6.807,1.94,10.991,3.892,36.236,0.683,1.65,0.678,0.028,63.614,0.447,0.051,0.817,0.973
00213D.png,6.854,1.781,11.017,4.117,32.395,0.656,1.683,0.771,0.029,63.507,0.408,0.085,0.757,0.891
00218D.png,6.893,2.046,11.094,4.147,35.91,0.668,1.739,0.744,0.028,63.597,0.433,0.087,0.8,0.941
00225D.png,6.801,1.644,11.822,4.633,31.803,0.64,1.744,0.725,0.035,62.645,0.42,0.089,0.767,0.915
00229D.png,6.777,1.575,10.454,4.31,29.233,0.588,1.729,0.861,0.034,62.824,0.35,0.14,0.696,0.855
00233D.png,6.871,1.833,11.722,4.607,32.883,0.641,1.789,0.718,0.031,63.227,0.43,0.092,0.805,0.967
00237D.png,6.835,2.487,11.762,4.231,34.965,0.64,1.655,0.675,0.042,61.938,0.509,0.027,0.828,0.983
00241D.png,6.93,2.145,12.356,4.942,33.614,0.662,1.609,0.681,0.043,61.815,0.499,0.031,0.826,0.929
00245D.png,6.869,2.145,13.316,4.935,32.502,0.64,1.552,0.699,0.044,61.741,0.469,0.029,0.772,0.912
00258D.png,7.072,2.486,9.989,3.688,36.737,0.74,1.183,0.748,0.045,61.577,0.356,0.028,0.731,0.811
00262D.png,7.006,2.186,9.802,3.723,33.518,0.691,1.26,0.825,0.044,61.685,0.317,0.032,0.695,0.776
00266D.png,6.882,1.888,12.219,4.364,31.562,0.582,1.677,0.787,0.037,62.466,0.371,0.099,0.726,0.828
00270D.png,6.854,2.247,11.42,3.909,33.133,0.591,1.67,0.629,0.049,61.267,0.428,0.024,0.779,0.853
00275D.png,6.926,2.175,11.347,4.44,36.497,0.767,1.286,0.625,0.045,61.56,0.451,0.025,0.78,0.973
00279D.png,6.683,2.057,10.184,3.741,34.966,0.644,1.496,0.62,0.04,62.076,0.4,0.031,0.732,0.844
00283D.png,6.698,2.258,10.216,3.704,35.144,0.668,1.432,0.681,0.039,62.194,0.371,0.03,0.742,0.875
00287D.png,6.907,2.407,12.228,4.333,39.954,0.683,1.565,0.631,0.032,63.119,0.445,0.031,0.811,0.947
00291D.png,6.829,2.262,10.88,3.943,38.215,0.639,1.629,0.641,0.035,62.713,0.442,0.043,0.782,0.882
00298D.png,6.89,2.569,10.543,3.696,39.785,0.637,1.642,0.632,0.038,62.376,0.417,0.034,0.782,0.904
00303D.png,6.792,2.332,10.463,3.641,37.88,0.629,1.7,0.654,0.036,62.526,0.49,0.022,0.834,0.959
00307D.png,7.005,2.43,11.149,3.809,41.779,0.542,1.817,0.634,0.051,61.051,0.527,0.014,0.789,0.831
00311D.png,6.892,2.031,10.422,3.891,35.201,0.632,1.552,0.732,0.045,61.647,0.423,0.037,0.71,0.851
00315D.png,7.022,2.216,10.762,3.999,37.85,0.629,1.614,0.663,0.038,62.285,0.439,0.036,0.768,0.894
00319D.png,6.882,2.303,10.232,3.599,37.386,0.617,1.688,0.632,0.034,62.867,0.457,0.037,0.815,0.936
00323D.png,6.898,2.135,10.486,3.803,36.302,0.669,1.563,0.73,0.036,62.614,0.432,0.049,0.773,0.995
00327D.png,6.99,2.186,10.75,4.096,35.316,0.746,1.271,0.761,0.041,62.038,0.407,0.04,0.746,0.944
00332D.png,7.05,2.167,11.561,4.316,38.801,0.685,1.576,0.653,0.032,63.085,0.478,0.031,0.875,1.01
00337D.png,7.037,2.394,10.539,3.975,40.347,0.681,1.61,0.594,0.028,63.696,0.436,0.054,0.858,0.94
00341D.png,6.92,2.425,9.654,3.488,37.604,0.669,1.549,0.653,0.036,62.529,0.439,0.037,0.832,0.979
00345D.png,6.986,2.458,10.916,3.853,40.874,0.684,1.572,0.613,0.035,62.639,0.457,0.043,0.826,0.934
00349D.png,6.732,2.044,10.094,3.837,35.727,0.741,1.325,0.7,0.028,63.689,0.391,0.077,0.815,0.978
00353D.png,6.896,2.299,10.233,3.811,38.16,0.744,1.403,0.664,0.029,63.511,0.404,0.066,0.816,0.971
00357D.png,6.965,2.279,11.009,4.242,39.152,0.737,1.432,0.484,0.017,65.819,0.429,0.026,0.984,1.061
00361D.png,6.707,2.457,10.525,3.882,35.02,0.722,1.477,0.654,0.029,63.438,0.438,0.059,0.846,1.034
00367D.png,6.709,2.318,11.146,4.177,34.825,0.71,1.49,0.673,0.037,62.466,0.442,0.058,0.781,0.994
00371D.png,6.75,2.192,11.14,4.307,33.655,0.698,1.512,0.664,0.036,62.624,0.454,0.04,0.815,1.018
00375D.png,6.903,2.208,10.976,4.39,35.484,0.666,1.629,0.665,0.042,61.926,0.475,0.04,0.834,1.041
00379D.png,7.013,2.352,10.272,3.955,36.478,0.772,1.252,0.754,0.038,62.28,0.391,0.043,0.805,1.071
00383D.png,7.005,2.405,10.964,4.274,35.798,0.76,1.334,0.708,0.034,62.841,0.458,0.028,0.872,1.007
00388D.png,6.79,2.112,11.38,4.43,34.153,0.762,1.448,0.667,0.034,62.79,0.473,0.035,0.832,0.979
00392D.png,6.826,2.116,11.187,4.207,34.628,0.702,1.505,0.57,0.036,62.529,0.452,0.032,0.819,0.894
00396D.png,6.743,2.055,10.979,4.017,34.031,0.739,1.472,0.575,0.04,62.094,0.452,0.021,0.812,0.907
00400D.png,6.84,1.563,11.529,4.364,34.176,0.648,1.613,0.634,0.036,62.587,0.436,0.044,0.789,0.88
00404D.png,6.824,1.784,12.042,4.378,33.594,0.64,1.658,0.689,0.035,62.677,0.475,0.04,0.827,0.907
00408D.png,6.846,1.638,12.453,5.051,31.45,0.659,1.558,0.662,0.034,62.842,0.419,0.07,0.862,1.011
00412D.png,6.598,1.694,11.239,4.096,30.138,0.601,1.605,0.622,0.043,61.763,0.419,0.031,0.754,0.884
00416D.png,6.73,1.965,12.045,4.404,32.684,0.62,1.674,0.532,0.025,64.075,0.458,0.025,0.968,1.042
00420D.png,6.708,1.793,10.823,4.085,30.499,0.571,1.647,0.64,0.045,61.639,0.426,0.041,0.758,0.875
00427D.png,6.937,2.03,10.711,4.109,33.976,0.643,1.653,0.492,0.019,65.314,0.446,0.022,0.986,0.979
00431D.png,7.009,2.334,9.963,3.788,36.151,0.757,1.287,0.682,0.031,63.211,0.384,0.048,0.855,1.049
00435D.png,7.06,2.239,10.696,4.209,35.796,0.721,1.294,0.622,0.04,62.11,0.346,0.062,0.767,0.926
00440D.png,6.9,2.109,11.292,4.408,32.677,0.624,1.637,0.609,0.04,62.117,0.42,0.065,0.872,1.001
00444D.png,7.009,2.334,9.197,3.675,36.199,0.782,1.405,0.592,0.026,63.999,0.422,0.045,0.932,1.045
00448D.png,6.943,2.065,11.531,4.316,36.193,0.747,1.409,0.622,0.037,62.49,0.416,0.042,0.803,0.909
00453D.png,6.994,2.687,11.622,4.219,40.18,0.744,1.347,0.602,0.039,62.2,0.432,0.016,0.856,1.058
00457D.png,6.939,2.474,11.608,4.258,39.669,0.713,1.474,0.553,0.046,61.479,0.446,0.02,0.816,0.888
00462D.png,6.884,2.62,12.065,4.361,42.248,0.725,1.532,0.62,0.037,62.495,0.48,0.019,0.892,1.029
00466D.png,6.914,2.416,10.699,3.845,42.162,0.726,1.554,0.652,0.039,62.173,0.471,0.018,0.821,0.913
00481D.png,7.029,1.947,11.659,4.596,35.671,0.629,1.61,0.629,0.046,61.473,0.422,0.035,0.785,0.996
00486D.png,7.111,2.222,11.199,4.386,35.855,0.721,1.58,0.682,0.055,60.755,0.421,0.064,0.712,1.025
00491D.png,7.125,2.28,11.556,4.727,37.412,0.687,1.564,0.694,0.048,61.289,0.422,0.072,0.799,1.062
00496D.png,7.085,2.254,9.925,4.075,37.015,0.695,1.516,0.744,0.054,60.826,0.381,0.093,0.731,1.012
00500D.png,6.966,2.045,11.936,4.636,33.937,0.623,1.646,0.563,0.055,60.725,0.444,0.022,0.786,0.977
00504D.png,7.058,2.114,13.637,5.662,34.366,0.713,1.351,0.565,0.027,63.861,0.483,0.01,0.94,1.029
00508D.png,6.965,2.12,12.017,5.069,34.035,0.721,1.25,0.709,0.064,60.067,0.353,0.083,0.642,0.87
00512D.png,6.812,2.314,8.837,3.569,34.106,0.672,1.412,0.67,0.059,60.428,0.363,0.05,0.652,0.94
00516D.png,6.895,2.401,10.954,4.107,35.368,0.674,1.471,0.592,0.053,60.897,0.428,0.029,0.767,1.059
00521D.png,6.959,2.353,10.467,4.071,35.266,0.687,1.403,0.688,0.046,61.466,0.394,0.055,0.723,1.023
00526D.png,6.995,2.639,11.914,4.716,38.422,0.67,1.488,0.652,0.038,62.324,0.466,0.033,0.809,0.98
00533D.png,6.791,2.325,11.104,4.41,33.402,0.616,1.484,0.75,0.056,60.683,0.432,0.048,0.611,0.952
00537D.png,6.754,2.307,10.25,3.979,35.498,0.578,1.724,0.662,0.048,61.338,0.445,0.037,0.653,0.909
00546D.png,6.702,2.335,9.944,3.943,33.743,0.608,1.639,0.79,0.043,61.762,0.403,0.06,0.557,0.853
00551D.png,6.783,1.876,12.084,4.825,29.223,0.625,1.517,0.671,0.056,60.618,0.417,0.064,0.615,0.853
00555D.png,6.833,2.917,8.991,3.508,34.933,0.744,1.059,0.611,0.029,63.51,0.442,0.013,0.818,0.981
00559D.png,6.767,2.208,9.785,3.952,32.831,0.691,1.435,0.697,0.033,62.915,0.378,0.078,0.666,0.936
00563D.png,6.863,2.353,10.177,3.946,33.071,0.711,1.339,0.589,0.057,60.605,0.372,0.031,0.714,0.958
00567D.png,7.035,2.443,11.497,4.164,38.352,0.568,1.761,0.631,0.05,61.156,0.473,0.026,0.84,0.991
00571D.png,7.002,2.038,11.928,4.607,33.953,0.593,1.642,0.616,0.041,61.97,0.418,0.051,0.827,1.017
00581D.png,6.808,2.724,8.585,3.25,36.347,0.704,1.395,0.68,0.045,61.634,0.37,0.055,0.703,0.991
00587D.png,7.101,2.165,10.417,4.31,35.045,0.642,1.371,0.764,0.052,60.952,0.332,0.183,0.662,0.922
00591D.png,6.865,2.065,13.772,5.438,34.057,0.612,1.647,0.645,0.04,62.122,0.46,0.052,0.742,0.99
00596D.png,6.754,1.775,13.147,5.127,30.398,0.593,1.45,0.67,0.054,60.832,0.386,0.07,0.681,0.951
00600D.png,6.884,1.831,10.867,4.288,31.177,0.619,1.54,0.678,0.053,60.853,0.358,0.071,0.628,0.87
00606D.png,6.85,2.06,12.202,5.121,33.81,0.72,1.378,0.663,0.045,61.637,0.389,0.046,0.65,0.923
00613D.png,6.951,2.103,11.567,4.782,36.305,0.627,1.726,0.67,0.04,62.151,0.461,0.036,0.758,0.994
00621D.png,6.909,1.98,10.633,4.427,32.438,0.677,1.555,0.551,0.049,61.231,0.402,0.038,0.726,0.92
00626D.png,6.966,2.406,12.334,5.199,36.08,0.659,1.457,0.751,0.045,61.629,0.356,0.068,0.624,0.887
00630D.png,6.997,2.412,11.606,4.748,35.191,0.648,1.693,0.743,0.029,63.531,0.484,0.053,0.832,1.042
00634D.png,6.801,3.331,11.039,4.195,39.469,0.648,1.577,0.639,0.037,62.437,0.506,0.024,0.822,0.916
00638D.png,6.799,2.407,10.437,3.943,36.276,0.651,1.62,0.731,0.035,62.697,0.422,0.07,0.659,0.954
00642D.png,7.17,2.849,9.232,3.944,41.483,0.89,0.807,0.652,0.034,62.843,0.353,0.081,0.773,1.039
