filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,5.825,2.459,4.009,1.183,22.355,0.715,1.452,0.604,0.006,70.726,0.374,0.002,0.759,0.95
00008N.png,6.452,2.948,6.005,1.761,40.184,0.741,1.53,0.737,0.016,66.219,0.505,0.008,0.848,1.089
00012N.png,5.496,2.411,3.27,1.038,20.462,0.669,1.207,0.607,0.009,68.596,0.277,0.0,0.641,0.869
00016N.png,5.427,2.304,3.675,1.223,18.419,0.668,1.16,0.553,0.008,68.887,0.21,0.0,0.597,0.839
00020N.png,4.149,1.553,3.095,0.702,12.117,0.765,0.913,0.533,0.002,75.666,0.221,0.0,0.577,0.992
00024N.png,4.852,1.995,3.115,0.933,15.161,0.716,1.221,0.568,0.004,71.809,0.219,0.001,0.587,0.938
00028N.png,5.002,2.501,3.146,0.819,16.426,0.678,1.307,0.556,0.005,71.23,0.22,0.001,0.535,0.885
00032N.png,5.048,1.886,4.258,1.182,23.746,0.687,1.324,0.688,0.006,70.289,0.342,0.001,0.615,0.933
00036N.png,4.104,1.69,3.195,0.819,16.175,0.738,1.2,0.552,0.004,72.159,0.179,0.001,0.443,0.8
00040N.png,4.774,1.777,3.467,0.888,17.141,0.711,1.711,0.673,0.003,74.009,0.318,0.003,0.677,1.008
00047N.png,5.783,2.199,5.474,1.608,28.379,0.637,1.572,0.731,0.008,68.882,0.491,0.003,0.813,1.018
00051N.png,5.959,2.208,5.961,1.751,33.445,0.656,1.552,0.712,0.01,68.297,0.389,0.003,0.759,1.052
00055D.png,6.87,3.282,11.614,4.045,48.329,0.672,1.348,0.576,0.04,62.07,0.505,0.002,0.764,0.94
00081D.png,6.709,2.824,7.418,2.589,36.308,0.642,1.294,0.615,0.053,60.881,0.326,0.001,0.607,0.85
00085D.png,6.471,2.729,6.28,2.472,27.694,0.764,1.2,0.659,0.039,62.183,0.323,0.001,0.641,1.013
00091D.png,6.901,3.875,7.691,2.657,41.41,0.552,1.689,0.65,0.051,61.044,0.533,0.005,0.74,0.944
00095D.png,7.18,2.573,11.023,4.391,46.325,0.559,1.63,0.643,0.066,59.948,0.549,0.003,0.758,1.031
00099D.png,7.083,2.299,12.024,5.269,35.667,0.702,1.221,0.537,0.041,61.996,0.304,0.001,0.785,1.137
00103D.png,7.048,2.824,9.466,3.813,37.363,0.662,1.464,0.528,0.036,62.515,0.336,0.001,0.82,1.128
00107D.png,6.564,2.231,7.818,2.811,29.835,0.687,1.4,0.534,0.019,65.368,0.329,0.001,0.807,1.117
00111D.png,7.059,3.368,8.364,2.951,60.603,0.84,1.171,0.54,0.025,64.221,0.291,0.001,0.822,1.183
00115D.png,6.51,2.81,6.897,2.352,33.934,0.658,1.407,0.513,0.028,63.606,0.265,0.001,0.757,1.054
00119D.png,6.478,2.815,6.745,2.189,32.091,0.655,1.547,0.589,0.018,65.473,0.346,0.002,0.834,1.157
00123D.png,6.775,2.76,8.251,3.181,36.388,0.692,1.277,0.647,0.039,62.221,0.335,0.001,0.652,0.979
00127D.png,6.339,2.672,7.817,2.518,24.64,0.482,1.74,0.615,0.019,65.235,0.51,0.003,0.815,0.99
00131D.png,6.468,2.344,7.841,2.655,29.405,0.631,1.711,0.583,0.02,65.033,0.407,0.002,0.759,0.997
00135D.png,6.571,2.828,6.636,2.287,31.488,0.459,1.641,0.601,0.033,62.967,0.434,0.003,0.812,1.057
00139D.png,7.041,2.536,9.672,3.596,38.969,0.577,1.705,0.6,0.044,61.717,0.548,0.003,0.81,0.944
00143D.png,6.765,1.992,9.747,3.678,29.875,0.49,1.882,0.569,0.045,61.604,0.518,0.005,0.8,0.925
00147D.png,6.608,2.444,8.97,3.161,29.977,0.529,1.788,0.618,0.022,64.789,0.564,0.006,0.87,0.953
00151D.png,7.099,2.643,9.853,3.79,37.878,0.488,1.827,0.684,0.039,62.174,0.61,0.01,0.888,0.969
00158D.png,7.228,2.365,8.171,2.995,42.014,0.534,1.924,0.689,0.052,60.936,0.543,0.015,0.868,0.894
00162D.png,7.428,3.892,9.149,3.75,47.656,0.759,1.206,0.838,0.061,60.29,0.654,0.001,0.79,1.004
00169D.png,6.74,2.789,5.862,2.144,39.626,0.785,1.251,0.641,0.02,65.031,0.384,0.001,0.767,1.056
00174D.png,6.735,2.412,6.323,2.258,35.373,0.742,1.418,0.656,0.023,64.602,0.438,0.001,0.791,1.019
00178D.png,6.759,2.653,6.983,2.326,36.865,0.784,1.218,0.627,0.02,65.104,0.417,0.001,0.792,1.027
00182D.png,6.91,3.115,7.07,2.333,36.96,0.774,1.164,0.634,0.029,63.514,0.384,0.001,0.732,0.997
00186D.png,7.179,2.498,8.648,3.111,41.216,0.657,1.615,0.648,0.04,62.115,0.49,0.002,0.767,0.962
00191D.png,7.037,2.528,7.851,2.949,41.608,0.722,1.443,0.596,0.029,63.461,0.404,0.001,0.776,1.076
00196D.png,6.727,1.957,7.092,2.662,28.482,0.594,1.623,0.511,0.021,64.943,0.309,0.001,0.766,0.982
00200D.png,6.11,2.207,5.691,1.683,37.233,0.706,1.608,0.689,0.011,67.659,0.423,0.004,0.897,1.145
00204D.png,6.537,2.393,6.989,2.247,33.634,0.659,1.684,0.663,0.013,66.91,0.499,0.004,0.917,1.104
00209D.png,6.468,2.368,6.599,2.189,31.207,0.677,1.589,0.621,0.014,66.684,0.436,0.002,0.836,1.04
