filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.274,5.181,6.585,1.829,30.879,0.68,1.77,1.037,0.01,68.228,0.637,0.009,1.004,0.903
00008N.png,6.632,5.623,7.994,2.248,46.378,0.696,1.668,1.064,0.022,64.743,0.68,0.008,1.018,1.04
00012N.png,6.322,5.097,6.274,1.953,38.341,0.584,1.616,1.011,0.016,66.098,0.659,0.005,0.995,0.933
00016N.png,6.296,4.518,8.032,2.628,37.126,0.601,1.696,1.022,0.014,66.64,0.651,0.011,1.001,0.976
00020N.png,4.79,2.413,6.191,1.487,19.958,0.725,1.678,1.015,0.003,74.108,0.561,0.009,1.037,1.147
00024N.png,5.816,4.191,6.803,1.937,28.018,0.696,1.837,1.084,0.007,69.732,0.642,0.011,1.028,1.066
00028N.png,5.814,4.133,6.721,1.759,30.022,0.661,1.881,1.113,0.008,68.837,0.643,0.011,0.992,1.063
00032N.png,5.619,3.425,7.876,2.194,37.375,0.67,1.858,1.151,0.011,67.691,0.681,0.006,0.991,1.043
00036N.png,4.939,2.604,7.409,1.937,30.355,0.729,1.888,1.107,0.007,69.848,0.644,0.01,1.008,1.075
00040N.png,5.08,2.789,5.704,1.526,23.207,0.703,1.907,1.096,0.004,71.934,0.611,0.009,1.016,1.08
00047N.png,6.208,4.764,8.218,2.276,37.488,0.61,1.852,1.087,0.014,66.652,0.689,0.006,1.014,0.999
00051N.png,6.205,3.38,9.618,2.868,42.397,0.653,1.835,1.117,0.015,66.334,0.661,0.007,1.001,1.051
00055D.png,7.181,6.646,21.554,6.655,72.282,0.606,1.712,1.018,0.074,59.434,0.792,0.011,0.99,0.968
00081D.png,7.602,6.901,15.686,4.926,68.056,0.542,1.621,1.024,0.101,58.072,0.761,0.008,0.99,0.963
00085D.png,7.312,6.84,12.914,4.602,45.148,0.656,1.45,1.042,0.072,59.545,0.74,0.011,1.014,1.065
00091D.png,7.323,7.13,12.134,3.734,61.28,0.459,1.75,1.008,0.095,58.365,0.747,0.012,0.986,0.958
00095D.png,7.458,6.619,18.125,6.423,70.588,0.453,1.589,1.015,0.125,57.174,0.77,0.011,0.993,1.004
00099D.png,7.738,6.319,27.249,10.661,62.371,0.6,1.522,0.994,0.079,59.137,0.759,0.017,1.03,1.116
00103D.png,7.452,6.34,19.425,6.934,64.164,0.517,1.463,0.959,0.071,59.617,0.705,0.018,1.01,1.075
00107D.png,7.038,5.358,15.942,5.078,50.259,0.565,1.576,0.936,0.035,62.678,0.68,0.016,1.037,1.094
00111D.png,7.172,5.183,17.789,5.375,75.814,0.796,1.399,0.805,0.045,61.595,0.618,0.019,1.042,1.163
00115D.png,7.006,5.301,14.967,4.486,62.483,0.552,1.647,0.904,0.053,60.903,0.636,0.017,1.034,1.092
00119D.png,6.782,4.889,13.038,3.627,55.099,0.569,1.818,0.899,0.035,62.688,0.64,0.014,1.063,1.143
00123D.png,7.499,6.601,17.167,6.04,63.584,0.623,1.745,1.059,0.075,59.408,0.746,0.01,1.0,1.028
00127D.png,6.901,6.291,13.425,3.779,39.16,0.374,1.631,0.997,0.036,62.554,0.739,0.011,1.0,0.967
00131D.png,7.092,5.91,15.013,4.385,43.651,0.564,1.781,0.991,0.038,62.281,0.708,0.012,0.999,0.963
00135D.png,6.821,5.911,11.53,3.543,52.771,0.38,1.721,1.005,0.063,60.171,0.692,0.014,1.014,1.025
00139D.png,7.37,6.436,15.216,5.082,52.373,0.464,1.564,1.004,0.075,59.354,0.75,0.009,0.983,0.962
00143D.png,7.253,6.096,15.693,5.178,43.338,0.446,1.893,0.984,0.079,59.158,0.729,0.011,0.976,0.883
00147D.png,6.996,6.379,13.569,4.237,40.524,0.413,1.58,1.005,0.036,62.605,0.755,0.009,0.99,0.983
00151D.png,7.261,6.668,13.316,4.558,47.35,0.395,1.588,1.036,0.062,60.239,0.767,0.009,0.988,0.986
00158D.png,7.324,6.588,9.399,3.196,45.467,0.425,1.499,1.007,0.065,59.974,0.692,0.007,0.987,0.989
00162D.png,7.64,7.443,14.867,5.522,63.79,0.671,1.201,1.098,0.111,57.69,0.85,0.006,0.986,1.023
00169D.png,7.123,5.873,11.59,3.683,56.256,0.705,1.456,1.013,0.037,62.42,0.709,0.013,1.0,1.037
00174D.png,7.221,5.88,11.971,3.775,49.507,0.648,1.519,1.01,0.043,61.804,0.739,0.009,0.989,1.0
00178D.png,7.26,5.986,13.74,3.962,52.439,0.689,1.391,0.993,0.037,62.404,0.73,0.009,1.008,1.015
00182D.png,7.473,6.594,14.506,4.17,56.708,0.672,1.438,1.013,0.055,60.748,0.752,0.007,0.999,1.011
00186D.png,7.547,6.141,15.174,4.776,54.643,0.575,1.654,0.969,0.075,59.359,0.732,0.009,0.971,0.914
00191D.png,7.458,5.906,15.012,4.931,57.721,0.665,1.651,0.953,0.054,60.775,0.705,0.011,0.98,1.027
00196D.png,7.161,4.34,14.435,4.789,41.106,0.546,1.699,0.828,0.03,63.401,0.606,0.018,0.996,0.975
00200D.png,5.997,3.562,9.025,2.308,44.612,0.625,1.487,0.923,0.017,65.885,0.591,0.009,1.052,1.088
00204D.png,6.747,5.232,10.92,3.012,41.578,0.566,1.582,0.951,0.022,64.764,0.675,0.011,1.024,1.003
00209D.png,6.943,5.336,11.633,3.402,43.467,0.609,1.711,0.965,0.025,64.124,0.685,0.012,1.008,0.982
00213D.png,6.694,5.113,10.321,3.021,32.285,0.562,1.659,0.975,0.015,66.411,0.698,0.01,1.013,0.957
00218D.png,6.809,5.488,9.464,3.011,36.245,0.595,1.753,0.982,0.02,65.11,0.685,0.011,1.022,0.996
00225D.png,6.824,5.551,10.504,3.462,32.0,0.535,1.667,0.987,0.02,65.041,0.693,0.013,1.031,0.945
00229D.png,6.751,5.575,8.088,2.661,30.193,0.471,1.707,1.019,0.018,65.501,0.685,0.011,1.041,0.955
00233D.png,6.81,5.283,10.037,3.332,32.067,0.564,1.746,0.98,0.019,65.267,0.668,0.015,1.034,1.027
00237D.png,7.373,6.355,15.178,5.075,51.845,0.54,1.786,1.023,0.068,59.835,0.775,0.01,1.009,1.014
00241D.png,7.422,6.417,15.735,6.043,45.878,0.531,1.701,1.031,0.07,59.688,0.807,0.008,1.006,0.996
00245D.png,7.568,6.663,19.002,6.441,51.672,0.49,1.712,1.043,0.069,59.729,0.83,0.007,1.015,1.006
00258D.png,7.701,6.893,14.637,5.098,68.105,0.607,1.384,1.072,0.077,59.242,0.808,0.007,1.006,0.989
