filename,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM
00004N.png,6.261,3.047,6.692,1.972,30.704,0.712,1.893,0.928,0.009,68.372,0.551,0.017,1.056,1.034
00008N.png,6.615,3.722,8.019,2.363,45.543,0.724,1.807,1.021,0.021,64.875,0.625,0.015,1.045,1.099
00012N.png,6.318,3.128,6.297,2.077,37.944,0.629,1.827,1.003,0.015,66.288,0.588,0.008,1.06,1.044
00016N.png,6.289,2.958,8.173,2.784,35.927,0.623,1.746,0.968,0.014,66.659,0.607,0.016,1.06,1.04
00020N.png,5.04,2.195,6.411,1.713,20.201,0.765,1.784,1.109,0.003,73.387,0.586,0.018,1.083,1.166
00024N.png,5.83,2.732,6.944,2.094,28.072,0.713,1.892,1.087,0.007,69.577,0.595,0.018,1.089,1.132
00028N.png,6.073,3.699,6.816,1.917,29.275,0.68,1.921,1.214,0.009,68.605,0.633,0.015,1.036,1.086
00032N.png,5.796,2.809,7.926,2.349,36.934,0.689,1.91,1.216,0.011,67.535,0.67,0.01,1.05,1.074
00036N.png,5.254,2.69,7.497,2.101,30.184,0.736,1.915,1.167,0.007,69.531,0.662,0.013,1.056,1.101
00040N.png,5.307,2.574,5.863,1.706,23.139,0.719,1.953,1.175,0.005,71.475,0.623,0.014,1.06,1.115
00047N.png,6.114,2.936,8.296,2.415,36.668,0.638,1.921,1.065,0.014,66.8,0.644,0.01,1.055,1.057
00051N.png,6.211,3.104,9.739,3.044,41.112,0.673,1.867,1.102,0.016,66.2,0.66,0.013,1.034,1.084
00055D.png,7.211,5.011,21.182,6.633,70.606,0.621,1.831,0.899,0.066,59.919,0.763,0.013,0.959,0.988
00081D.png,7.599,5.108,15.708,5.005,67.088,0.562,1.81,0.953,0.086,58.791,0.729,0.015,0.957,0.971
00085D.png,7.336,4.641,12.963,4.718,46.171,0.698,1.834,0.962,0.058,60.528,0.7,0.021,0.994,1.105
00091D.png,7.361,5.048,12.256,3.884,59.264,0.491,1.919,0.917,0.078,59.231,0.698,0.019,0.966,1.003
00095D.png,7.611,4.702,18.087,6.531,68.171,0.479,1.862,0.904,0.102,58.028,0.739,0.018,0.949,1.04
00099D.png,7.77,4.116,27.221,10.773,62.856,0.635,1.832,0.829,0.067,59.869,0.719,0.028,1.028,1.156
00103D.png,7.595,4.201,19.098,6.955,62.282,0.575,1.873,0.774,0.061,60.284,0.645,0.026,1.022,1.146
00107D.png,7.169,3.421,15.976,5.204,50.25,0.615,1.869,0.796,0.031,63.229,0.627,0.028,1.071,1.162
00111D.png,7.246,3.93,17.127,5.245,78.781,0.816,1.568,0.698,0.039,62.205,0.557,0.021,1.081,1.22
00115D.png,7.132,3.775,14.866,4.585,60.611,0.588,1.824,0.78,0.046,61.517,0.581,0.021,1.058,1.157
